X_实时推理GPU需求_等效GPU,Y_实时推理执行时长_分钟,X_批量推理GPU需求_等效GPU,Y_批量推理执行时长_分钟,X_AI训练GPU需求_等效GPU,Y_AI训练执行时长_分钟
5,293,21.0,177.0,99.0,111.0
7,279,16.0,221.0,114.0,290.0
1,337,6.0,281.0,114.0,44.0
7,395,10.0,39.0,16.0,92.0
2,234,17.0,163.0,83.0,216.0
2,19,22.0,110.0,22.0,268.0
7,244,17.0,292.0,106.0,52.0
3,52,12.0,187.0,72.0,146.0
7,147,17.0,170.0,21.0,265.0
2,286,22.0,106.0,98.0,335.0
3,111,19.0,372.0,38.0,339.0
3,103,17.0,236.0,46.0,103.0
4,333,8.0,307.0,45.0,313.0
3,313,16.0,126.0,54.0,211.0
5,395,21.0,358.0,109.0,309.0
7,127,21.0,55.0,38.0,160.0
3,395,13.0,312.0,86.0,23.0
2,310,21.0,217.0,29.0,54.0
1,259,23.0,29.0,49.0,80.0
4,301,5.0,202.0,89.0,175.0
5,178,10.0,247.0,41.0,67.0
6,57,14.0,187.0,47.0,99.0
4,371,11.0,166.0,112.0,276.0
1,331,11.0,78.0,41.0,148.0
1,48,6.0,172.0,127.0,291.0
7,145,4.0,218.0,71.0,103.0
1,103,23.0,314.0,27.0,185.0
5,374,17.0,317.0,107.0,337.0
1,179,4.0,154.0,48.0,192.0
4,247,15.0,223.0,32.0,379.0
1,360,15.0,391.0,51.0,34.0
1,108,9.0,42.0,95.0,123.0
1,389,11.0,275.0,81.0,362.0
5,270,22.0,384.0,27.0,190.0
2,364,8.0,43.0,74.0,219.0
2,259,13.0,363.0,19.0,41.0
5,290,5.0,43.0,105.0,85.0
5,163,7.0,226.0,48.0,113.0
4,17,10.0,339.0,102.0,318.0
7,356,5.0,281.0,85.0,199.0
4,351,17.0,48.0,102.0,13.0
3,236,4.0,82.0,71.0,72.0
6,303,14.0,243.0,56.0,240.0
6,261,17.0,229.0,46.0,237.0
3,177,18.0,193.0,16.0,284.0
7,33,4.0,287.0,73.0,342.0
7,46,7.0,397.0,22.0,321.0
7,384,15.0,264.0,72.0,84.0
6,247,21.0,282.0,46.0,250.0
3,282,18.0,275.0,95.0,319.0
6,247,8.0,148.0,102.0,359.0
7,216,6.0,351.0,113.0,127.0
1,176,6.0,232.0,49.0,367.0
6,76,17.0,104.0,108.0,222.0
4,93,4.0,318.0,72.0,282.0
1,14,19.0,328.0,60.0,323.0
5,324,15.0,232.0,23.0,98.0
6,337,21.0,68.0,58.0,379.0
5,254,6.0,118.0,54.0,83.0
1,209,6.0,201.0,103.0,365.0
3,110,11.0,399.0,29.0,383.0
7,107,17.0,71.0,84.0,80.0
6,190,17.0,57.0,30.0,91.0
5,249,19.0,41.0,42.0,257.0
3,228,12.0,37.0,98.0,103.0
6,55,10.0,369.0,114.0,158.0
5,74,13.0,366.0,20.0,173.0
1,149,16.0,41.0,106.0,390.0
5,285,11.0,250.0,71.0,346.0
7,286,8.0,295.0,122.0,112.0
6,196,23.0,186.0,123.0,320.0
6,340,19.0,223.0,46.0,322.0
2,140,5.0,249.0,92.0,255.0
3,221,15.0,64.0,93.0,78.0
6,79,20.0,307.0,98.0,396.0
6,389,7.0,299.0,21.0,373.0
5,239,6.0,277.0,34.0,159.0
6,155,20.0,245.0,82.0,304.0
1,280,15.0,71.0,118.0,394.0
1,139,23.0,362.0,118.0,115.0
4,240,13.0,156.0,48.0,253.0
5,382,12.0,67.0,65.0,147.0
4,331,20.0,195.0,126.0,241.0
5,262,22.0,71.0,52.0,198.0
5,312,9.0,180.0,93.0,301.0
6,124,21.0,39.0,105.0,74.0
4,349,15.0,266.0,52.0,285.0
3,161,14.0,34.0,51.0,215.0
7,315,14.0,102.0,125.0,378.0
5,264,21.0,165.0,40.0,225.0
3,211,7.0,27.0,46.0,208.0
4,378,6.0,252.0,16.0,23.0
1,329,6.0,112.0,118.0,127.0
1,16,10.0,235.0,125.0,263.0
4,228,19.0,359.0,22.0,267.0
1,19,5.0,27.0,21.0,326.0
5,26,5.0,140.0,91.0,375.0
1,110,9.0,286.0,55.0,20.0
3,227,19.0,43.0,67.0,144.0
4,276,6.0,306.0,37.0,311.0
6,311,16.0,165.0,83.0,210.0
2,313,16.0,389.0,104.0,106.0
6,221,23.0,54.0,56.0,376.0
5,334,9.0,297.0,17.0,365.0
6,101,4.0,352.0,93.0,77.0
2,194,21.0,95.0,120.0,31.0
7,381,10.0,13.0,30.0,265.0
3,283,22.0,217.0,30.0,305.0
3,87,9.0,363.0,83.0,212.0
6,52,7.0,64.0,102.0,124.0
1,394,6.0,64.0,114.0,307.0
4,325,16.0,139.0,62.0,306.0
2,281,10.0,374.0,29.0,362.0
7,252,17.0,221.0,107.0,208.0
6,361,9.0,141.0,98.0,91.0
5,63,7.0,111.0,30.0,106.0
5,55,21.0,84.0,79.0,11.0
2,134,7.0,300.0,45.0,42.0
3,32,14.0,333.0,90.0,157.0
6,369,6.0,386.0,121.0,215.0
4,20,19.0,27.0,29.0,38.0
1,236,19.0,267.0,27.0,149.0
5,156,17.0,27.0,120.0,52.0
1,133,9.0,346.0,114.0,208.0
6,115,5.0,205.0,74.0,223.0
2,379,16.0,383.0,54.0,185.0
5,392,20.0,383.0,96.0,306.0
4,296,21.0,372.0,103.0,303.0
4,367,15.0,207.0,53.0,115.0
2,181,11.0,200.0,89.0,370.0
7,65,20.0,205.0,95.0,286.0
5,302,16.0,77.0,106.0,398.0
7,343,12.0,293.0,114.0,324.0
4,351,9.0,323.0,74.0,129.0
5,259,9.0,378.0,52.0,297.0
6,51,22.0,335.0,35.0,222.0
4,129,4.0,16.0,102.0,164.0
3,231,11.0,172.0,78.0,64.0
6,316,20.0,389.0,91.0,168.0
7,234,14.0,310.0,47.0,22.0
6,118,23.0,101.0,54.0,224.0
3,238,5.0,70.0,41.0,370.0
2,242,12.0,346.0,115.0,85.0
2,41,13.0,382.0,40.0,291.0
2,384,4.0,99.0,97.0,221.0
6,123,8.0,301.0,46.0,169.0
4,33,13.0,287.0,61.0,353.0
7,109,22.0,266.0,71.0,132.0
3,99,13.0,196.0,41.0,371.0
3,245,10.0,158.0,108.0,330.0
5,109,15.0,314.0,79.0,262.0
5,171,20.0,60.0,103.0,98.0
4,355,18.0,79.0,91.0,331.0
4,163,17.0,354.0,68.0,39.0
4,313,7.0,214.0,41.0,45.0
2,284,5.0,251.0,21.0,54.0
7,293,6.0,52.0,64.0,346.0
4,87,10.0,26.0,108.0,94.0
7,54,22.0,42.0,116.0,216.0
3,313,11.0,346.0,88.0,18.0
6,99,17.0,228.0,91.0,310.0
4,54,7.0,249.0,64.0,99.0
1,157,10.0,185.0,88.0,259.0
4,137,20.0,292.0,70.0,235.0
6,28,19.0,101.0,104.0,146.0
4,71,18.0,144.0,74.0,122.0
7,76,4.0,219.0,119.0,107.0
4,394,18.0,326.0,22.0,314.0
6,393,20.0,250.0,62.0,205.0
4,106,21.0,213.0,105.0,266.0
2,313,12.0,164.0,62.0,313.0
6,274,9.0,177.0,108.0,109.0
3,105,9.0,268.0,16.0,347.0
5,297,16.0,299.0,117.0,383.0
7,127,16.0,56.0,83.0,237.0
7,357,13.0,286.0,74.0,119.0
1,193,23.0,351.0,103.0,391.0
4,10,7.0,260.0,40.0,74.0
2,341,20.0,252.0,92.0,263.0
4,190,6.0,61.0,83.0,329.0
3,161,7.0,158.0,18.0,319.0
5,180,8.0,133.0,83.0,337.0
1,389,23.0,30.0,103.0,246.0
3,127,17.0,397.0,40.0,36.0
4,350,16.0,344.0,114.0,237.0
3,126,9.0,337.0,79.0,374.0
1,196,4.0,358.0,114.0,92.0
2,28,19.0,223.0,107.0,17.0
7,44,6.0,198.0,92.0,51.0
3,153,10.0,14.0,38.0,122.0
5,202,15.0,293.0,102.0,117.0
1,156,12.0,59.0,94.0,234.0
6,88,9.0,242.0,28.0,251.0
3,186,21.0,151.0,86.0,257.0
6,247,4.0,311.0,28.0,279.0
3,190,8.0,66.0,18.0,354.0
5,250,8.0,161.0,36.0,357.0
4,196,19.0,160.0,125.0,98.0
3,222,22.0,150.0,79.0,178.0
2,203,20.0,337.0,19.0,11.0
4,301,19.0,288.0,102.0,254.0
3,94,14.0,85.0,67.0,218.0
4,118,18.0,283.0,46.0,301.0
4,350,20.0,54.0,96.0,117.0
7,110,4.0,397.0,54.0,35.0
6,155,4.0,293.0,73.0,232.0
4,16,23.0,132.0,119.0,209.0
3,239,22.0,115.0,111.0,288.0
2,107,9.0,295.0,69.0,152.0
6,231,17.0,240.0,72.0,38.0
1,358,12.0,282.0,65.0,43.0
4,209,21.0,378.0,96.0,63.0
7,69,23.0,83.0,114.0,244.0
1,140,15.0,322.0,70.0,220.0
6,173,5.0,91.0,29.0,342.0
5,215,14.0,393.0,115.0,330.0
6,54,10.0,149.0,31.0,252.0
5,357,16.0,329.0,111.0,121.0
4,118,9.0,264.0,86.0,350.0
6,334,23.0,13.0,39.0,244.0
5,386,23.0,223.0,104.0,260.0
7,19,8.0,133.0,36.0,181.0
4,130,19.0,103.0,113.0,51.0
1,183,5.0,349.0,100.0,193.0
3,217,14.0,224.0,89.0,251.0
5,276,15.0,219.0,112.0,109.0
4,11,14.0,212.0,116.0,39.0
7,129,19.0,300.0,74.0,104.0
2,228,5.0,325.0,108.0,80.0
7,184,18.0,119.0,43.0,81.0
5,134,10.0,292.0,28.0,252.0
3,43,4.0,220.0,65.0,253.0
7,24,21.0,304.0,114.0,198.0
6,336,14.0,295.0,57.0,362.0
1,155,20.0,131.0,64.0,146.0
2,297,14.0,229.0,23.0,223.0
6,117,7.0,397.0,68.0,131.0
4,164,17.0,80.0,106.0,222.0
3,219,19.0,366.0,76.0,249.0
6,371,6.0,253.0,18.0,269.0
3,125,21.0,321.0,86.0,175.0
5,386,7.0,156.0,111.0,98.0
2,11,8.0,109.0,39.0,341.0
3,200,14.0,219.0,109.0,207.0
3,118,5.0,14.0,45.0,216.0
3,115,19.0,35.0,20.0,89.0
7,137,17.0,322.0,118.0,133.0
6,380,10.0,123.0,46.0,143.0
6,326,10.0,263.0,88.0,147.0
6,224,5.0,45.0,39.0,177.0
3,206,15.0,100.0,66.0,198.0
3,180,21.0,110.0,110.0,120.0
3,259,4.0,53.0,69.0,215.0
7,375,10.0,310.0,17.0,233.0
3,378,8.0,163.0,84.0,360.0
6,300,10.0,247.0,34.0,197.0
3,121,5.0,356.0,96.0,109.0
5,371,20.0,358.0,89.0,194.0
3,61,14.0,23.0,88.0,315.0
4,344,21.0,258.0,66.0,189.0
1,208,20.0,295.0,19.0,16.0
7,59,12.0,357.0,53.0,390.0
3,155,15.0,272.0,76.0,15.0
2,58,22.0,171.0,82.0,149.0
3,289,17.0,385.0,55.0,91.0
6,332,9.0,275.0,115.0,244.0
6,343,6.0,64.0,50.0,348.0
4,325,8.0,257.0,74.0,203.0
6,147,22.0,185.0,116.0,309.0
7,348,15.0,191.0,79.0,248.0
2,359,21.0,265.0,43.0,33.0
3,178,9.0,150.0,37.0,43.0
1,99,9.0,239.0,95.0,16.0
3,157,20.0,138.0,56.0,199.0
3,393,6.0,19.0,43.0,193.0
2,376,5.0,25.0,33.0,187.0
5,356,11.0,339.0,60.0,371.0
1,200,11.0,112.0,125.0,64.0
3,382,9.0,88.0,19.0,229.0
7,376,15.0,53.0,27.0,295.0
2,239,14.0,74.0,24.0,345.0
6,126,19.0,59.0,45.0,119.0
7,30,16.0,345.0,60.0,341.0
4,368,14.0,374.0,81.0,267.0
2,95,4.0,127.0,107.0,360.0
6,332,13.0,236.0,76.0,150.0
5,151,15.0,307.0,102.0,182.0
5,205,7.0,238.0,31.0,138.0
1,199,11.0,351.0,50.0,180.0
2,293,12.0,236.0,126.0,81.0
4,365,9.0,296.0,79.0,204.0
1,232,16.0,393.0,45.0,343.0
7,342,6.0,125.0,45.0,262.0
6,117,9.0,387.0,24.0,361.0
7,254,18.0,235.0,93.0,66.0
7,102,7.0,174.0,43.0,371.0
5,265,4.0,208.0,111.0,289.0
4,366,19.0,23.0,60.0,127.0
7,225,7.0,333.0,107.0,296.0
4,222,17.0,118.0,94.0,42.0
4,346,6.0,123.0,33.0,169.0
6,121,22.0,339.0,17.0,53.0
7,391,10.0,62.0,48.0,55.0
1,173,21.0,103.0,57.0,94.0
4,241,23.0,322.0,69.0,300.0
5,167,8.0,332.0,107.0,178.0
7,287,21.0,301.0,73.0,190.0
3,46,22.0,105.0,22.0,62.0
6,112,18.0,158.0,23.0,200.0
6,57,14.0,233.0,70.0,163.0
6,110,9.0,348.0,37.0,360.0
2,137,22.0,194.0,51.0,120.0
5,298,4.0,200.0,95.0,375.0
3,386,18.0,20.0,34.0,132.0
5,368,13.0,247.0,51.0,244.0
4,15,20.0,317.0,52.0,300.0
5,380,4.0,19.0,125.0,361.0
6,246,13.0,379.0,17.0,341.0
6,64,21.0,122.0,86.0,11.0
1,237,17.0,384.0,43.0,81.0
3,351,22.0,247.0,126.0,44.0
4,220,5.0,185.0,117.0,272.0
1,34,16.0,59.0,105.0,392.0
7,285,14.0,195.0,40.0,74.0
1,392,14.0,133.0,63.0,244.0
6,130,9.0,169.0,102.0,346.0
4,318,6.0,77.0,29.0,350.0
1,166,17.0,84.0,122.0,34.0
3,378,5.0,28.0,86.0,100.0
7,40,4.0,198.0,112.0,305.0
1,298,22.0,259.0,101.0,336.0
7,391,21.0,17.0,37.0,175.0
6,343,12.0,68.0,17.0,216.0
7,30,16.0,176.0,123.0,265.0
6,364,6.0,56.0,124.0,235.0
3,109,4.0,39.0,35.0,291.0
1,216,10.0,116.0,50.0,346.0
4,234,10.0,40.0,67.0,17.0
5,66,22.0,274.0,25.0,117.0
3,200,14.0,349.0,42.0,322.0
6,30,15.0,254.0,33.0,349.0
4,336,15.0,255.0,30.0,333.0
7,136,11.0,98.0,103.0,279.0
5,260,11.0,214.0,101.0,55.0
3,117,14.0,147.0,16.0,372.0
6,390,4.0,97.0,29.0,95.0
2,108,14.0,33.0,20.0,191.0
6,134,18.0,224.0,109.0,247.0
1,373,7.0,391.0,45.0,174.0
6,361,9.0,117.0,72.0,380.0
1,57,19.0,128.0,22.0,70.0
7,173,5.0,291.0,107.0,181.0
2,42,11.0,398.0,64.0,164.0
1,203,22.0,231.0,96.0,253.0
1,84,10.0,322.0,99.0,44.0
6,240,8.0,332.0,65.0,285.0
1,259,21.0,237.0,120.0,107.0
2,218,16.0,20.0,118.0,187.0
4,111,7.0,63.0,52.0,303.0
1,30,21.0,204.0,74.0,109.0
7,313,22.0,184.0,109.0,294.0
6,98,8.0,359.0,85.0,225.0
4,226,12.0,292.0,115.0,272.0
4,28,8.0,172.0,89.0,196.0
1,386,16.0,250.0,83.0,345.0
4,344,21.0,266.0,122.0,355.0
4,368,23.0,343.0,41.0,306.0
3,269,7.0,387.0,90.0,125.0
5,170,23.0,36.0,111.0,111.0
2,328,10.0,49.0,119.0,284.0
2,218,15.0,63.0,81.0,27.0
3,232,8.0,296.0,93.0,313.0
3,334,7.0,264.0,125.0,364.0
6,253,20.0,76.0,105.0,30.0
7,71,16.0,60.0,123.0,15.0
6,260,8.0,27.0,56.0,180.0
2,31,13.0,145.0,124.0,104.0
2,114,21.0,326.0,126.0,221.0
5,22,13.0,272.0,72.0,196.0
3,22,10.0,205.0,34.0,385.0
6,382,15.0,306.0,26.0,155.0
7,130,7.0,299.0,20.0,198.0
6,108,23.0,151.0,127.0,390.0
5,385,18.0,198.0,46.0,17.0
6,29,16.0,184.0,38.0,298.0
5,369,10.0,277.0,76.0,21.0
6,262,21.0,367.0,72.0,287.0
7,154,12.0,49.0,26.0,191.0
1,304,15.0,284.0,50.0,125.0
4,208,19.0,349.0,58.0,158.0
6,281,19.0,87.0,37.0,386.0
5,106,20.0,369.0,37.0,135.0
5,144,7.0,292.0,58.0,153.0
2,321,18.0,385.0,90.0,345.0
5,350,15.0,64.0,69.0,70.0
5,88,16.0,393.0,79.0,362.0
1,34,14.0,271.0,121.0,111.0
3,377,13.0,338.0,86.0,376.0
3,359,15.0,164.0,46.0,380.0
5,21,19.0,55.0,50.0,239.0
3,162,9.0,201.0,119.0,45.0
2,201,12.0,174.0,89.0,60.0
2,121,15.0,189.0,16.0,313.0
2,373,23.0,199.0,126.0,56.0
1,23,11.0,148.0,124.0,154.0
5,253,13.0,274.0,111.0,142.0
4,280,10.0,146.0,99.0,160.0
2,18,20.0,96.0,47.0,91.0
6,353,20.0,262.0,48.0,169.0
2,32,19.0,50.0,18.0,356.0
1,165,22.0,241.0,32.0,166.0
2,155,4.0,321.0,17.0,229.0
2,181,23.0,147.0,18.0,325.0
7,21,6.0,113.0,81.0,26.0
1,258,8.0,158.0,95.0,328.0
7,182,7.0,207.0,66.0,316.0
7,285,8.0,238.0,19.0,220.0
2,105,19.0,30.0,19.0,93.0
2,323,14.0,100.0,64.0,255.0
6,121,17.0,329.0,54.0,55.0
1,161,22.0,282.0,66.0,352.0
4,283,22.0,90.0,20.0,368.0
5,299,17.0,380.0,78.0,216.0
4,370,10.0,231.0,47.0,94.0
2,24,9.0,242.0,86.0,217.0
5,116,10.0,227.0,107.0,229.0
3,320,4.0,307.0,75.0,72.0
2,189,13.0,105.0,44.0,389.0
4,106,10.0,257.0,93.0,155.0
5,309,6.0,293.0,34.0,207.0
4,309,7.0,222.0,31.0,36.0
3,307,7.0,328.0,52.0,48.0
4,104,23.0,175.0,58.0,30.0
3,362,23.0,335.0,25.0,102.0
1,351,20.0,282.0,62.0,340.0
2,149,15.0,283.0,91.0,83.0
7,136,22.0,377.0,67.0,67.0
4,95,13.0,237.0,78.0,240.0
2,398,21.0,267.0,90.0,281.0
5,258,4.0,246.0,71.0,40.0
2,248,14.0,331.0,64.0,145.0
7,272,22.0,196.0,24.0,171.0
3,207,15.0,219.0,91.0,345.0
2,223,15.0,89.0,99.0,300.0
6,317,4.0,324.0,82.0,206.0
7,209,18.0,387.0,74.0,185.0
5,190,12.0,379.0,65.0,33.0
2,250,6.0,233.0,86.0,135.0
2,329,9.0,95.0,55.0,214.0
5,257,20.0,93.0,31.0,54.0
1,268,23.0,28.0,67.0,42.0
1,110,12.0,385.0,113.0,44.0
6,111,22.0,240.0,79.0,353.0
1,64,9.0,210.0,18.0,25.0
1,43,10.0,370.0,56.0,52.0
7,214,18.0,73.0,42.0,389.0
4,321,12.0,61.0,27.0,333.0
6,135,5.0,128.0,66.0,101.0
3,317,7.0,376.0,28.0,29.0
7,60,21.0,64.0,51.0,355.0
2,42,17.0,386.0,75.0,94.0
5,92,11.0,157.0,115.0,58.0
6,176,18.0,53.0,108.0,18.0
7,360,5.0,97.0,112.0,295.0
1,216,18.0,124.0,25.0,332.0
1,397,16.0,27.0,55.0,156.0
7,246,19.0,366.0,48.0,264.0
6,105,22.0,176.0,43.0,101.0
1,122,9.0,74.0,36.0,393.0
7,194,7.0,360.0,18.0,288.0
2,144,21.0,38.0,40.0,244.0
6,123,15.0,88.0,125.0,203.0
2,36,18.0,354.0,102.0,211.0
6,242,15.0,151.0,77.0,129.0
5,45,18.0,188.0,17.0,237.0
1,85,23.0,38.0,111.0,31.0
1,201,20.0,353.0,90.0,293.0
2,276,15.0,43.0,122.0,226.0
6,270,7.0,151.0,100.0,346.0
5,294,4.0,389.0,48.0,365.0
1,17,21.0,244.0,111.0,373.0
7,254,7.0,363.0,63.0,172.0
5,355,22.0,222.0,63.0,279.0
6,59,21.0,294.0,69.0,383.0
3,198,22.0,277.0,124.0,247.0
1,258,17.0,291.0,33.0,134.0
1,280,10.0,14.0,101.0,171.0
5,60,20.0,113.0,45.0,126.0
7,222,20.0,250.0,65.0,99.0
1,52,16.0,68.0,119.0,364.0
4,24,8.0,235.0,18.0,132.0
1,63,10.0,36.0,79.0,83.0
6,251,10.0,284.0,108.0,160.0
1,387,9.0,26.0,32.0,73.0
2,188,9.0,102.0,47.0,60.0
4,28,5.0,298.0,87.0,371.0
4,221,8.0,370.0,31.0,292.0
5,319,23.0,399.0,84.0,10.0
2,293,23.0,209.0,81.0,243.0
5,351,18.0,368.0,24.0,83.0
7,228,5.0,369.0,21.0,75.0
3,49,23.0,63.0,23.0,104.0
1,154,8.0,149.0,93.0,387.0
7,25,14.0,251.0,120.0,346.0
7,379,18.0,217.0,113.0,58.0
4,167,20.0,16.0,77.0,239.0
3,11,14.0,396.0,99.0,166.0
5,273,7.0,110.0,30.0,34.0
5,320,14.0,90.0,50.0,320.0
1,68,4.0,244.0,97.0,31.0
5,396,9.0,356.0,95.0,115.0
6,358,8.0,344.0,20.0,346.0
2,344,5.0,308.0,29.0,53.0
2,202,4.0,356.0,85.0,383.0
3,71,9.0,24.0,112.0,296.0
7,20,8.0,204.0,30.0,22.0
6,268,7.0,126.0,90.0,170.0
4,172,7.0,399.0,17.0,99.0
3,189,22.0,180.0,33.0,187.0
1,214,13.0,243.0,96.0,24.0
1,133,21.0,374.0,122.0,218.0
4,294,10.0,122.0,67.0,89.0
4,300,13.0,154.0,64.0,163.0
2,335,16.0,192.0,59.0,99.0
7,227,23.0,164.0,17.0,12.0
3,80,7.0,202.0,100.0,163.0
3,60,19.0,84.0,103.0,190.0
7,220,19.0,314.0,51.0,366.0
4,159,13.0,167.0,80.0,18.0
3,56,12.0,234.0,60.0,194.0
2,314,9.0,141.0,35.0,361.0
2,13,17.0,61.0,121.0,237.0
3,191,23.0,115.0,68.0,203.0
6,168,18.0,191.0,61.0,154.0
4,63,10.0,33.0,19.0,24.0
1,286,9.0,255.0,100.0,218.0
1,283,6.0,244.0,65.0,22.0
2,276,22.0,155.0,50.0,223.0
6,325,7.0,311.0,127.0,13.0
4,184,12.0,213.0,80.0,159.0
2,255,22.0,35.0,38.0,353.0
6,85,4.0,158.0,51.0,362.0
1,344,17.0,186.0,94.0,141.0
5,205,10.0,40.0,61.0,81.0
2,249,16.0,178.0,104.0,94.0
3,192,12.0,222.0,120.0,51.0
7,168,18.0,373.0,44.0,28.0
6,148,13.0,100.0,73.0,125.0
4,91,4.0,282.0,93.0,43.0
3,325,15.0,80.0,52.0,29.0
1,346,6.0,128.0,90.0,309.0
2,287,10.0,19.0,103.0,78.0
1,312,11.0,243.0,57.0,314.0
2,348,15.0,202.0,44.0,72.0
2,200,11.0,229.0,81.0,130.0
4,122,23.0,143.0,24.0,193.0
3,262,20.0,97.0,102.0,28.0
2,391,20.0,246.0,33.0,136.0
3,232,4.0,282.0,28.0,15.0
3,290,14.0,296.0,40.0,24.0
1,239,14.0,320.0,69.0,137.0
1,285,11.0,35.0,35.0,371.0
4,169,18.0,54.0,18.0,393.0
2,75,18.0,70.0,55.0,241.0
3,204,6.0,184.0,81.0,84.0
5,277,9.0,139.0,94.0,144.0
5,349,20.0,377.0,117.0,60.0
3,114,21.0,124.0,59.0,217.0
1,118,16.0,89.0,122.0,189.0
7,26,18.0,309.0,85.0,266.0
1,68,12.0,138.0,21.0,294.0
1,39,18.0,366.0,110.0,378.0
3,89,16.0,179.0,100.0,309.0
3,120,10.0,254.0,112.0,355.0
4,38,18.0,125.0,93.0,293.0
2,373,15.0,380.0,107.0,377.0
2,314,15.0,62.0,74.0,383.0
4,117,16.0,138.0,116.0,76.0
5,167,5.0,237.0,113.0,391.0
5,241,12.0,317.0,112.0,67.0
3,363,5.0,242.0,84.0,46.0
3,63,7.0,382.0,49.0,304.0
4,360,6.0,346.0,61.0,153.0
1,241,22.0,345.0,103.0,279.0
1,349,9.0,296.0,62.0,372.0
4,229,17.0,198.0,34.0,320.0
5,287,8.0,324.0,44.0,171.0
5,345,14.0,304.0,17.0,109.0
7,135,16.0,193.0,41.0,147.0
2,326,8.0,267.0,109.0,161.0
6,219,16.0,64.0,103.0,157.0
4,212,8.0,12.0,33.0,179.0
6,340,12.0,251.0,16.0,357.0
5,154,13.0,175.0,93.0,360.0
2,152,22.0,126.0,104.0,286.0
2,234,13.0,80.0,29.0,145.0
1,360,22.0,382.0,33.0,153.0
7,189,19.0,344.0,106.0,179.0
3,135,9.0,203.0,51.0,282.0
1,153,7.0,79.0,22.0,367.0
1,95,8.0,151.0,85.0,162.0
6,204,18.0,252.0,31.0,399.0
2,222,15.0,222.0,102.0,130.0
4,160,6.0,62.0,25.0,33.0
3,66,6.0,311.0,23.0,254.0
6,42,8.0,306.0,42.0,55.0
5,86,9.0,173.0,73.0,350.0
6,83,17.0,366.0,102.0,374.0
5,106,5.0,232.0,71.0,30.0
5,202,5.0,165.0,32.0,99.0
1,285,17.0,189.0,120.0,262.0
4,399,4.0,77.0,116.0,85.0
2,314,4.0,224.0,24.0,225.0
3,44,22.0,185.0,90.0,183.0
7,353,4.0,239.0,52.0,26.0
7,210,5.0,190.0,72.0,82.0
7,391,15.0,341.0,25.0,309.0
6,14,8.0,352.0,63.0,11.0
4,347,13.0,294.0,113.0,243.0
7,280,5.0,240.0,99.0,209.0
2,285,7.0,379.0,50.0,31.0
1,91,4.0,151.0,62.0,280.0
4,288,8.0,363.0,111.0,195.0
3,363,18.0,292.0,124.0,178.0
2,348,11.0,294.0,115.0,339.0
1,333,8.0,216.0,118.0,296.0
5,46,19.0,276.0,49.0,204.0
6,315,13.0,372.0,54.0,226.0
5,27,23.0,333.0,108.0,200.0
4,127,7.0,329.0,51.0,374.0
6,119,13.0,89.0,47.0,78.0
6,168,18.0,296.0,98.0,308.0
5,242,19.0,239.0,102.0,13.0
4,227,12.0,162.0,23.0,250.0
1,394,19.0,209.0,120.0,210.0
4,246,15.0,118.0,102.0,73.0
7,345,17.0,300.0,114.0,165.0
2,339,20.0,281.0,74.0,265.0
5,338,8.0,203.0,67.0,361.0
7,25,10.0,346.0,56.0,37.0
6,395,15.0,330.0,87.0,92.0
3,112,18.0,353.0,23.0,78.0
3,252,12.0,213.0,93.0,170.0
1,102,9.0,74.0,64.0,311.0
5,94,7.0,233.0,16.0,96.0
3,43,5.0,309.0,99.0,249.0
7,105,4.0,320.0,104.0,81.0
2,120,13.0,59.0,79.0,396.0
5,165,18.0,138.0,39.0,168.0
1,210,21.0,253.0,86.0,339.0
5,146,10.0,99.0,30.0,30.0
1,303,20.0,309.0,36.0,230.0
2,279,20.0,221.0,36.0,78.0
5,180,23.0,94.0,94.0,340.0
1,385,8.0,219.0,59.0,105.0
3,145,23.0,71.0,48.0,64.0
1,322,9.0,290.0,87.0,249.0
5,330,15.0,250.0,28.0,228.0
2,347,17.0,365.0,121.0,359.0
1,154,7.0,186.0,118.0,355.0
1,175,19.0,227.0,28.0,272.0
4,173,20.0,21.0,73.0,277.0
5,91,16.0,345.0,87.0,327.0
6,212,21.0,52.0,83.0,153.0
1,153,16.0,261.0,60.0,36.0
7,390,4.0,286.0,51.0,109.0
6,225,4.0,331.0,75.0,115.0
7,312,22.0,52.0,40.0,207.0
2,65,9.0,242.0,50.0,106.0
4,161,21.0,258.0,124.0,298.0
4,35,23.0,241.0,125.0,175.0
3,220,7.0,219.0,80.0,307.0
4,319,13.0,52.0,81.0,316.0
3,105,8.0,142.0,38.0,301.0
6,356,14.0,341.0,71.0,108.0
6,261,14.0,90.0,67.0,149.0
1,260,10.0,395.0,77.0,229.0
2,289,19.0,264.0,108.0,242.0
5,18,23.0,260.0,59.0,141.0
2,278,20.0,215.0,64.0,243.0
7,246,4.0,335.0,92.0,326.0
6,274,10.0,287.0,45.0,168.0
4,99,17.0,354.0,27.0,76.0
2,367,12.0,46.0,19.0,259.0
2,40,7.0,94.0,43.0,314.0
6,71,20.0,84.0,32.0,141.0
3,184,20.0,15.0,57.0,319.0
7,144,16.0,316.0,112.0,188.0
6,21,5.0,315.0,104.0,48.0
1,396,7.0,261.0,104.0,313.0
4,339,8.0,325.0,79.0,223.0
2,288,14.0,296.0,38.0,392.0
1,352,16.0,60.0,43.0,323.0
7,237,7.0,67.0,55.0,139.0
